P,D,N,Time
1,2,1000,2.293100e-02
4,2,1000,1.269800e-02
8,2,1000,4.448000e-03
16,2,1000,3.702000e-03
32,2,1000,5.690000e-03
64,2,1000,2.852200e-02
1,5,1000,2.144700e-02
4,5,1000,1.013300e-02
8,5,1000,6.437000e-03
16,5,1000,5.761000e-03
32,5,1000,5.944000e-03
64,5,1000,3.063400e-02
1,10,1000,2.632000e-02
4,10,1000,1.002300e-02
8,10,1000,8.363000e-03
16,10,1000,6.163000e-03
32,10,1000,7.394000e-03
64,10,1000,3.093100e-02
1,20,1000,2.896100e-02
4,20,1000,1.773000e-02
8,20,1000,1.215800e-02
16,20,1000,1.058800e-02
32,20,1000,1.319200e-02
64,20,1000,4.128100e-02
1,100,1000,6.409400e-02
4,100,1000,3.516100e-02
8,100,1000,3.318300e-02
16,100,1000,3.020100e-02
32,100,1000,2.497100e-02
64,100,1000,1.090970e-01
1,2,10000,1.280472e+00
4,2,10000,3.075260e-01
8,2,10000,1.685240e-01
16,2,10000,9.173000e-02
32,2,10000,6.125100e-02
64,2,10000,5.537200e-02
1,5,10000,1.610755e+00
4,5,10000,4.275190e-01
8,5,10000,2.260310e-01
16,5,10000,1.463580e-01
32,5,10000,7.709400e-02
64,5,10000,8.703000e-02
1,10,10000,1.779715e+00
4,10,10000,5.609660e-01
8,10,10000,2.870500e-01
16,10,10000,1.907520e-01
32,10,10000,1.133030e-01
64,10,10000,9.082900e-02
1,20,10000,2.096331e+00
4,20,10000,6.739500e-01
8,20,10000,4.469330e-01
16,20,10000,1.932890e-01
32,20,10000,1.403410e-01
64,20,10000,9.895000e-02
1,100,10000,7.920404e+00
4,100,10000,4.267044e+00
8,100,10000,3.129717e+00
16,100,10000,1.392000e+00
32,100,10000,1.041531e+00
64,100,10000,6.159700e-01
1,2,20000,5.182565e+00
4,2,20000,1.210668e+00
8,2,20000,6.309520e-01
16,2,20000,3.286460e-01
32,2,20000,2.091900e-01
64,2,20000,1.580390e-01
1,5,20000,6.458597e+00
4,5,20000,1.574400e+00
8,5,20000,9.019490e-01
16,5,20000,5.738550e-01
32,5,20000,2.933780e-01
64,5,20000,2.244160e-01
1,10,20000,7.064877e+00
4,10,20000,1.938315e+00
8,10,20000,1.233556e+00
16,10,20000,7.089910e-01
32,10,20000,3.012030e-01
64,10,20000,2.693150e-01
1,20,20000,8.390538e+00
4,20,20000,2.565230e+00
8,20,20000,1.457965e+00
16,20,20000,7.609730e-01
32,20,20000,5.119440e-01
64,20,20000,3.290360e-01
1,100,20000,3.155161e+01
4,100,20000,1.723784e+01
8,100,20000,1.356676e+01
16,100,20000,5.732912e+00
32,100,20000,4.809706e+00
64,100,20000,2.259067e+00
1,2,40000,2.033013e+01
4,2,40000,4.345231e+00
8,2,40000,3.043417e+00
16,2,40000,1.498830e+00
32,2,40000,7.524600e-01
64,2,40000,4.577210e-01
1,5,40000,2.588413e+01
4,5,40000,6.227174e+00
8,5,40000,4.375639e+00
16,5,40000,2.181435e+00
32,5,40000,9.600640e-01
64,5,40000,7.124790e-01
1,10,40000,2.836678e+01
4,10,40000,7.703978e+00
8,10,40000,4.350199e+00
16,10,40000,2.842380e+00
32,10,40000,1.364489e+00
64,10,40000,8.428380e-01
1,20,40000,3.501665e+01
4,20,40000,1.236069e+01
8,20,40000,6.522209e+00
16,20,40000,3.816476e+00
32,20,40000,2.311349e+00
64,20,40000,1.323372e+00
1,100,40000,1.275122e+02
4,100,40000,6.687437e+01
8,100,40000,5.059458e+01
16,100,40000,2.760352e+01
32,100,40000,1.876572e+01
64,100,40000,9.640052e+00
4,2,80000,1.794425e+01
8,2,80000,1.017470e+01
16,2,80000,6.327341e+00
32,2,80000,2.950662e+00
64,2,80000,1.806014e+00
4,5,80000,3.603146e+01
8,5,80000,2.031953e+01
16,5,80000,1.074738e+01
32,5,80000,5.004091e+00
64,5,80000,3.445074e+00
4,10,80000,5.050446e+01
8,10,80000,2.813329e+01
16,10,80000,1.746592e+01
32,10,80000,8.773232e+00
64,10,80000,5.112871e+00
4,20,80000,7.264615e+01
8,20,80000,4.377214e+01
16,20,80000,2.319817e+01
32,20,80000,1.370753e+01
64,20,80000,8.172394e+00
4,100,80000,3.432681e+02
8,100,80000,2.029492e+02
16,100,80000,1.092278e+02
32,100,80000,7.938433e+01
64,100,80000,7.268973e+01
4,2,160000,5.114383e+01
8,2,160000,2.853152e+01
16,2,160000,1.442158e+01
16,2,160000,1.482684e+01
32,2,160000,7.070134e+00
64,2,160000,5.577681e+00
16,5,160000,4.297126e+01
32,5,160000,2.177776e+01
64,5,160000,1.520149e+01
16,10,160000,9.195408e+01
32,10,160000,4.671106e+01
64,10,160000,3.185170e+01
16,20,160000,1.916300e+02
32,20,160000,9.780152e+01
64,20,160000,6.799582e+01
16,100,160000,1.090893e+03
32,100,160000,5.353942e+02
64,100,160000,5.190052e+02
16,2,320000,4.290519e+01
32,2,320000,2.419159e+01
64,2,320000,1.911909e+01
16,5,320000,1.148358e+02
32,5,320000,5.834461e+01
64,5,320000,5.122480e+01
16,10,320000,2.335436e+02
32,10,320000,1.294600e+02
64,10,320000,1.041068e+02
16,20,320000,4.889010e+02
32,20,320000,2.636872e+02
64,20,320000,2.365897e+02
16,100,320000,2.494050e+03
32,100,320000,1.567815e+03
64,100,320000,1.703086e+03
